                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.93555,                 1.3778,                 0.8925,                 1.1238,                0.91449,                0.94825,                0.96528,                0.75611,                0.92202,                0.89655,                0.94331,                  0.541,                0.80566,                 1.2771,                0.64705,                 1.1012,              0.0013664,              0.0013664,              0.0013664
                     35,                 0.8719,                 1.2655,                0.80337,                 1.0858,                0.93739,                0.95879,                0.97453,                0.77638,                0.93985,                0.92359,                0.95789,                 0.5542,                0.76666,                 1.1596,                0.64317,                 1.0799,              0.0013466,              0.0013466,              0.0013466
                     36,                0.87503,                 1.2948,                0.80415,                 1.1368,                0.93531,                0.92585,                0.96697,                0.79556,                0.91722,                0.91626,                0.95398,                0.56116,                0.69832,                 1.1697,                0.66301,                 1.0507,              0.0013268,              0.0013268,              0.0013268
                     37,                0.92702,                  1.278,                0.79578,                 1.1764,                0.96902,                0.92455,                0.96856,                0.77596,                0.96874,                0.91586,                0.95194,                0.57107,                 0.7682,                 1.1533,                0.63495,                 1.0739,               0.001307,               0.001307,               0.001307
                     38,                0.89136,                 1.2088,                0.79913,                 1.1532,                0.96043,                0.89655,                0.97084,                0.79164,                0.95635,                0.89163,                0.94396,                0.57893,                0.71043,                  1.147,                0.63762,                 1.0651,              0.0012872,              0.0012872,              0.0012872
                     39,                0.86639,                 1.2388,                0.82146,                 1.1499,                0.93043,                0.93103,                 0.9652,                0.77181,                0.91055,                0.91133,                 0.9385,                 0.5808,                0.76168,                 1.2017,                0.66061,                 1.0828,              0.0012674,              0.0012674,              0.0012674
                     40,                0.87386,                 1.2134,                0.76489,                 1.1145,                0.95492,                0.93917,                0.96969,                0.77769,                0.94477,                0.92702,                0.94286,                 0.5491,                 0.7667,                 1.1767,                 0.6236,                 1.1005,              0.0012476,              0.0012476,              0.0012476
                     41,                0.86453,                  1.277,                0.79026,                 1.0931,                0.93337,                0.91133,                 0.9534,                0.77422,                0.86248,                 0.9064,                0.91801,                0.49599,                0.74244,                 1.6949,                0.61231,                 1.0836,              0.0012278,              0.0012278,              0.0012278
                     42,                0.81927,                 1.2287,                0.70749,                 1.0968,                 0.9546,                0.93228,                0.96536,                0.78936,                0.93379,                0.90316,                0.93453,                0.55985,                0.71489,                 1.1703,                0.62955,                 1.0533,               0.001208,               0.001208,               0.001208
                     43,                0.79261,                 1.2135,                0.69469,                 1.0506,                0.93619,                0.96059,                0.97804,                0.82109,                0.90731,                0.93103,                0.94183,                0.56306,                0.63227,                 1.1203,                0.55371,                 1.0198,              0.0011882,              0.0011882,              0.0011882
